Month,Threshold (lagged),Forecast optimisation,Perfect foresight
2021-10,255162.52335531914,517843.9187340425,1633821.2050914892
2021-11,313579.53553191485,279228.81028297864,1394242.599248936
2021-12,611085.1420382978,528781.0932872338,3376614.5818382977
2022-01,373259.0419723404,669401.6841595742,3215309.072327659
2022-02,159539.89537021276,309872.1767851063,1161963.9351723404
2022-03,514234.00614680845,933334.6777340424,1763735.7435765956
2022-04,693246.1125404255,843480.1657127655,2551318.611434042
2022-05,900877.377593617,4719393.844682978,7488362.770023404
2022-06,836177.0141127659,1370765.3247021271,4493394.386027659
2022-07,1097693.1676659575,3781479.7169234036,6260179.380787233
2022-08,1166889.3012914893,3582123.9202936166,6042015.578876595
2022-09,1487592.0022787233,1431374.344204255,4899917.522461701
2022-10,1099556.1231446809,1101188.3447595742,2829479.703804255
2022-11,1200522.3672553191,-69148.86497234058,3990390.1459255316
2022-12,555603.5855829787,524689.6839361701,1825545.1221595744
2023-01,484079.72909148934,368275.1421510637,1636263.727942553
2023-02,596668.0729510637,2267530.6101510637,3535808.38487234
2023-03,474519.89333191485,846952.9235872339,1675365.763010638
2023-04,831998.6155957446,994298.3296063828,2043398.6852404254
2023-05,686429.6583468084,2738962.4861872336,5157414.439923404
